data,valor,indicador,ano,mes,trimestre,nome_mes,media_movel_30d,variacao_pct,nivel_selic
2020-01-02,4.021300,cambio_dolar,2020,1,1,Jan/2020,4.021300,,
2020-01-03,4.052200,cambio_dolar,2020,1,1,Jan/2020,4.036750,0.768408,
2020-01-06,4.055400,cambio_dolar,2020,1,1,Jan/2020,4.042967,0.078969,
2020-01-07,4.084100,cambio_dolar,2020,1,1,Jan/2020,4.053250,0.707698,
2020-01-08,4.067200,cambio_dolar,2020,1,1,Jan/2020,4.056040,-0.413800,
2020-01-09,4.074400,cambio_dolar,2020,1,1,Jan/2020,4.059100,0.177026,
2020-01-10,4.074500,cambio_dolar,2020,1,1,Jan/2020,4.061300,0.002454,
2020-01-13,4.130900,cambio_dolar,2020,1,1,Jan/2020,4.070000,1.384219,
2020-01-14,4.144300,cambio_dolar,2020,1,1,Jan/2020,4.078256,0.324385,
2020-01-15,4.162200,cambio_dolar,2020,1,1,Jan/2020,4.086650,0.431919,
2020-01-16,4.172600,cambio_dolar,2020,1,1,Jan/2020,4.094464,0.249868,
2020-01-17,4.183700,cambio_dolar,2020,1,1,Jan/2020,4.101900,0.266021,
2020-01-20,4.182900,cambio_dolar,2020,1,1,Jan/2020,4.108131,-0.019122,
2020-01-21,4.201400,cambio_dolar,2020,1,1,Jan/2020,4.114793,0.442277,
2020-01-22,4.188900,cambio_dolar,2020,1,1,Jan/2020,4.119733,-0.297520,
2020-01-23,4.166200,cambio_dolar,2020,1,1,Jan/2020,4.122637,-0.541908,
2020-01-24,4.176900,cambio_dolar,2020,1,1,Jan/2020,4.125829,0.256829,
2020-01-27,4.219600,cambio_dolar,2020,1,1,Jan/2020,4.131039,1.022289,
2020-01-28,4.206400,cambio_dolar,2020,1,1,Jan/2020,4.135005,-0.312826,
2020-01-29,4.201300,cambio_dolar,2020,1,1,Jan/2020,4.138320,-0.121244,
2020-01-30,4.252300,cambio_dolar,2020,1,1,Jan/2020,4.143748,1.213910,
2020-01-31,4.269500,cambio_dolar,2020,1,1,Jan/2020,4.149464,0.404487,
2020-02-03,4.247500,cambio_dolar,2020,2,1,Feb/2020,4.153726,-0.515283,
2020-02-04,4.238100,cambio_dolar,2020,2,1,Feb/2020,4.157242,-0.221307,
2020-02-05,4.244900,cambio_dolar,2020,2,1,Feb/2020,4.160748,0.160449,
