ano,trimestre,indicador,media_valor,max_valor,min_valor
2020,1,cambio_dolar,4.465665,5.198700,4.021300
2020,1,cdi,0.016244,0.017089,0.014227
2020,1,ipca,0.176667,0.250000,0.070000
2020,1,selic,0.016244,0.017089,0.014227
2020,2,cambio_dolar,5.385395,5.937200,4.889400
2020,2,cdi,0.012003,0.014227,0.008442
2020,2,ipca,-0.143333,0.260000,-0.380000
2020,2,selic,0.012003,0.014227,0.008442
2020,3,cambio_dolar,5.377223,5.652800,5.111100
2020,3,cdi,0.007858,0.008442,0.007469
2020,3,ipca,0.413333,0.640000,0.240000
2020,3,selic,0.007858,0.008442,0.007469
2020,4,cambio_dolar,5.392083,5.780300,5.057800
2020,4,cdi,0.007469,0.007469,0.007469
2020,4,ipca,1.033333,1.350000,0.860000
2020,4,selic,0.007469,0.007469,0.007469
2021,1,cambio_dolar,5.483331,5.839700,5.162600
2021,1,cdi,0.007946,0.010379,0.007469
2021,1,ipca,0.680000,0.930000,0.250000
2021,1,selic,0.007946,0.010379,0.007469
2021,2,cambio_dolar,5.290724,5.706400,4.920600
2021,2,cdi,0.012659,0.016137,0.010379
2021,2,ipca,0.556667,0.830000,0.310000
2021,2,selic,0.012659,0.016137,0.010379
2021,3,cambio_dolar,5.228597,5.439400,5.005500
2021,3,cdi,0.018818,0.023687,0.016137
2021,3,ipca,0.996667,1.160000,0.870000
2021,3,selic,0.018818,0.023687,0.016137
2021,4,cambio_dolar,5.586013,5.737200,5.391100
2021,4,cdi,0.029147,0.034749,0.023687
2021,4,ipca,0.976667,1.250000,0.730000
2021,4,selic,0.029147,0.034749,0.023687
2022,1,cambio_dolar,5.229929,5.704200,4.737800
2022,1,cdi,0.038791,0.043739,0.034749
2022,1,ipca,1.056667,1.620000,0.540000
2022,1,selic,0.038791,0.043739,0.034749
2022,2,cambio_dolar,4.926561,5.238000,4.617500
2022,2,cdi,0.046306,0.049037,0.043739
2022,2,ipca,0.733333,1.060000,0.470000
2022,2,selic,0.046306,0.049037,0.043739
2022,3,cambio_dolar,5.246172,5.475000,5.042800
2022,3,cdi,0.050141,0.050788,0.049037
2022,3,ipca,-0.443333,-0.290000,-0.680000
2022,3,selic,0.050141,0.050788,0.049037
2022,4,cambio_dolar,5.255363,5.465500,5.036000
2022,4,cdi,0.050788,0.050788,0.050788
2022,4,ipca,0.540000,0.620000,0.410000
2022,4,selic,0.050788,0.050788,0.050788
2023,1,cambio_dolar,5.196333,5.445900,4.990100
2023,1,cdi,0.050788,0.050788,0.050788
2023,1,ipca,0.693333,0.840000,0.530000
2023,1,selic,0.050788,0.050788,0.050788
2023,2,cambio_dolar,4.948533,5.095900,4.769800
2023,2,cdi,0.050788,0.050788,0.050788
2023,2,ipca,0.253333,0.610000,-0.080000
2023,2,selic,0.050788,0.050788,0.050788
2023,3,cambio_dolar,4.880294,5.047500,4.720200
2023,3,cdi,0.049474,0.050788,0.047279
2023,3,ipca,0.203333,0.260000,0.120000
2023,3,selic,0.049474,0.050788,0.047279
2023,4,cambio_dolar,4.955302,5.191800,4.830600
2023,4,cdi,0.045830,0.047279,0.043739
2023,4,ipca,0.360000,0.560000,0.240000
2023,4,selic,0.045830,0.047279,0.043739
2024,1,cambio_dolar,4.951521,5.035200,4.854300
2024,1,cdi,0.042424,0.043739,0.040168
2024,1,ipca,0.470000,0.830000,0.160000
2024,1,selic,0.042424,0.043739,0.040168
2024,2,cambio_dolar,5.212914,5.558900,5.008000
2024,2,cdi,0.039655,0.040168,0.039270
2024,2,ipca,0.350000,0.460000,0.210000
2024,2,selic,0.039655,0.040168,0.039270
2024,3,cambio_dolar,5.545417,5.764600,5.396700
2024,3,cdi,0.039379,0.040168,0.039270
2024,3,ipca,0.266667,0.440000,-0.020000
2024,3,selic,0.039379,0.040168,0.039270
2024,4,cambio_dolar,5.836924,6.199100,5.430500
2024,4,cdi,0.041924,0.045513,0.040168
2024,4,ipca,0.490000,0.560000,0.390000
2024,4,selic,0.041924,0.045513,0.040168
2025,1,cambio_dolar,5.852152,6.208600,5.662800
2025,1,cdi,0.048340,0.052531,0.045513
2025,1,ipca,0.676667,1.310000,0.160000
2025,1,selic,0.048340,0.052531,0.045513
2025,2,cambio_dolar,5.666061,6.060500,5.457100
2025,2,cdi,0.053683,0.055131,0.052531
2025,2,ipca,0.310000,0.430000,0.240000
2025,2,selic,0.053683,0.055131,0.052531
2025,3,cambio_dolar,5.448844,5.603400,5.301000
2025,3,cdi,0.055131,0.055131,0.055131
2025,3,ipca,0.210000,0.480000,-0.110000
2025,3,selic,0.055131,0.055131,0.055131
2025,4,cambio_dolar,5.395489,5.573900,5.272900
2025,4,cdi,0.055131,0.055131,0.055131
2025,4,ipca,0.200000,0.330000,0.090000
2025,4,selic,0.055131,0.055131,0.055131
2026,1,cambio_dolar,5.259090,5.437200,5.138200
2026,1,cdi,0.055003,0.055131,0.054266
2026,1,ipca,0.636667,0.880000,0.330000
2026,1,selic,0.055003,0.055131,0.054266
2026,2,cambio_dolar,5.049418,5.209800,4.897300
2026,2,cdi,0.053542,0.054266,0.052531
2026,2,ipca,0.470000,0.670000,0.160000
2026,2,selic,0.053542,0.054266,0.052531
2026,3,cambio_dolar,5.126157,5.223600,5.063800
2026,3,cdi,0.052289,0.052531,0.051660
2026,3,ipca,0.070000,0.070000,0.070000
2026,3,selic,0.052289,0.052531,0.051660
